Date,Cost Index of Crop Products in Nigerian Naira
09/01/2010,170.0
10/01/2010,171.0
11/01/2010,195.0
12/01/2010,126.0
01/01/2011,124.0
02/01/2011,129.0
03/01/2011,143.0
04/01/2011,161.0
05/01/2011,166.0
06/01/2011,179.0
07/01/2011,160.0
08/01/2011,166.0
09/01/2011,222.0
10/01/2011,217.0
11/01/2011,157.0
12/01/2011,175.0
01/01/2012,160.0
02/01/2012,183.0
03/01/2012,196.0
04/01/2012,1350.9987
05/01/2012,1280.9987
06/01/2012,1262.375
07/01/2012,1318.2
08/01/2012,1354.0
09/01/2012,1315.8334
10/01/2012,1150.3335
11/01/2012,1255.75
12/01/2012,1271.2
01/01/2013,1265.875
02/01/2013,1300.125
03/01/2013,1348.6
04/01/2013,1398.75
05/01/2013,1419.75
06/01/2013,1494.6999999999998
07/01/2013,1582.375
08/01/2013,1572.25
09/01/2013,1533.4
10/01/2013,1549.125
11/01/2013,2879.925
12/01/2013,2743.25
01/01/2014,2635.0
02/01/2014,2605.5
03/01/2014,2708.6
04/01/2014,2765.6668
05/01/2014,68.0
06/01/2014,0.0
07/01/2014,3754.2
08/01/2014,3701.84
09/01/2014,3698.0
10/01/2014,3707.2001
11/01/2014,3628.966
12/01/2014,3622.96
01/01/2015,3507.45
02/01/2015,3420.65
03/01/2015,3382.76
04/01/2015,3488.89
05/01/2015,3583.12
06/01/2015,3579.4025
07/01/2015,3562.06
08/01/2015,3609.384
09/01/2015,3757.03
10/01/2015,3711.4
11/01/2015,3697.16
12/01/2015,3616.85
01/01/2016,3912.96
02/01/2016,4299.8
03/01/2016,4572.254999999999
04/01/2016,4950.924999999999
05/01/2016,5837.52
06/01/2016,6371.2
07/01/2016,6576.784
08/01/2016,7753.139999999999
09/01/2016,7502.95
10/01/2016,7452.52
11/01/2016,7488.3
12/01/2016,7469.049999999999
01/01/2017,8037.68
02/01/2017,8149.35
03/01/2017,8365.75
04/01/2017,8347.08
05/01/2017,9038.45
06/01/2017,8567.35
07/01/2017,8362.92
08/01/2017,8216.55
09/01/2017,7486.8835
10/01/2017,5535.96
11/01/2017,5196.6
12/01/2017,5145.72
01/01/2018,5191.200000000001
02/01/2018,5303.349999999999
03/01/2018,5386.099999999999
04/01/2018,6622.88
05/01/2018,6981.966700000001
06/01/2018,6880.5317000000005
07/01/2018,6712.906
08/01/2018,6496.525000000001
09/01/2018,6384.120000000001
10/01/2018,6237.8589
11/01/2018,6134.4
12/01/2018,6134.1552
01/01/2019,5990.67
02/01/2019,5935.715
03/01/2019,6088.044
04/01/2019,6014.085
05/01/2019,6121.0125
06/01/2019,5960.8007
07/01/2019,5947.975
08/01/2019,5894.2408
09/01/2019,6280.79
10/01/2019,5629.232800000001
11/01/2019,6975.0
12/01/2019,6768.879999999999
01/01/2020,7001.158300000001
02/01/2020,6838.275
03/01/2020,7298.739999999999
04/01/2020,8331.15
05/01/2020,8709.34
06/01/2020,9358.3675
07/01/2020,10265.725
08/01/2020,11030.5
09/01/2020,10967.6
10/01/2020,10251.6917
11/01/2020,9924.58
12/01/2020,9853.45
01/01/2021,10372.86
02/01/2021,10811.3125
03/01/2021,11262.5
04/01/2021,11491.85
05/01/2021,11764.36
06/01/2021,12397.7
07/01/2021,12587.75
08/01/2021,12418.12
09/01/2021,11683.0666
10/01/2021,11066.0
11/01/2021,11276.075
12/01/2021,11627.652
01/01/2022,12057.22
02/01/2022,12287.9
03/01/2022,12245.675
04/01/2022,12592.25
05/01/2022,12288.6602
06/01/2022,12694.7
07/01/2022,12945.48
08/01/2022,13001.05
09/01/2022,13545.0
10/01/2022,12571.4094
11/01/2022,13075.7
12/01/2022,13057.675
01/01/2023,13254.8
02/01/2023,14271.3666
03/01/2023,14782.0416
04/01/2023,15146.260000000002
05/01/2023,15774.8
06/01/2023,16708.6626
07/01/2023,20051.2
08/01/2023,21685.45
09/01/2023,19738.5
